dataset,prior,K_requested,K_effective,mean,ci_low,ci_high,width,delta_mean_vs_K2,width_ratio_vs_K2,min_bin_count_labeled
full,uniform,2,2,0.30858740227849624,0.2889712783457227,0.32873853385342133,0.03976725550769861,0.0,1.0,1058
full,uniform,4,4,0.30904878155133053,0.28961549309860946,0.3287729086379684,0.03915741553935892,0.0004613792728342947,0.9846647710395396,529
full,uniform,5,5,0.3091070556367557,0.2894949301125994,0.3287830952878832,0.039288165175283774,0.0005196533582594864,0.9879526427886861,423
full,jeffreys,2,2,0.3082643420528027,0.28849215067973333,0.32755009364226173,0.0390579429625284,0.0,1.0,1058
full,jeffreys,4,4,0.3086206200922229,0.28893374744364636,0.32847474856215747,0.03954100111851111,0.0003562780394202325,1.0123677316146973,529
full,jeffreys,5,5,0.3085339215382265,0.2885634745425395,0.32852566192891686,0.03996218738637736,0.00026957948542383203,1.0231513580916556,423
age_65_70,uniform,2,2,0.24079460082612822,0.19282583043405532,0.2924983633691838,0.09967253293512846,0.0,1.0,145
age_65_70,uniform,4,4,0.2442760521355435,0.19755363076244983,0.2947954521507907,0.0972418213883409,0.0034814513094152677,0.9756130252216066,72
age_65_70,uniform,5,5,0.2457942117569662,0.1990548489130564,0.29566006631137565,0.09660521739831926,0.004999610930837978,0.9692260701470731,58
age_65_70,jeffreys,2,2,0.2388510610905856,0.1918657881604581,0.2894574194737794,0.0975916313133213,0.0,1.0,145
age_65_70,jeffreys,4,4,0.2407051956413834,0.1935950136715825,0.2906244424837207,0.09702942881213822,0.0018541345507978035,0.994239234516143,72
age_65_70,jeffreys,5,5,0.24153570869266724,0.19498951185711988,0.2912088247981058,0.0962193129409859,0.0026846476020816468,0.9859381552099532,58
