scope,threshold_policy,threshold,N,subjects,prevalence,AUC,ACC,ACC_lo,ACC_hi,TPR,TPR_lo,TPR_hi,TNR,TNR_lo,TNR_hi,TN,FP,FN,TP
Overall,fixed_0.5,0.5,2116,503,0.30812854442344045,0.6880143903583762,0.7136105860113422,0.6939751492378204,0.7324718363319928,0.26533742331288346,0.23289368224400614,0.3005301416322153,0.9132513661202186,0.8977302066476777,0.9266095016557986,1337,127,479,173
Overall,youden_same_scope_descriptive,0.212054893374443,2116,503,0.30812854442344045,0.6880143903583762,0.6271266540642723,0.6063098117186979,0.647482752702275,0.6886503067484663,0.6520898543014954,0.7230007970921305,0.5997267759562842,0.5743996668093801,0.6245318991613761,878,586,203,449
50-73,fixed_0.5,0.5,737,205,0.2944369063772049,0.7219425735554768,0.757123473541384,0.7248825681252756,0.7866978725850887,0.2672811059907834,0.2128228658409688,0.3298354713238657,0.9615384615384616,0.9413415299451787,0.9749662420295847,500,20,159,58
50-73,youden_same_scope_descriptive,0.2034738808870315,737,205,0.2944369063772049,0.7219425735554768,0.6716417910447762,0.6369236049497765,0.7045799610125513,0.6820276497695853,0.6173606809050545,0.740362005867006,0.6673076923076923,0.6257131504865779,0.7064484168542736,347,173,69,148
74-79,fixed_0.5,0.5,695,218,0.2906474820143885,0.6996666198059968,0.7093525179856115,0.674517493233154,0.7418859647000188,0.2376237623762376,0.18416962298424,0.30087094849589485,0.9026369168356998,0.8732714810824398,0.9257761687298798,445,48,154,48
74-79,youden_same_scope_descriptive,0.2029256075620651,695,218,0.2906474820143885,0.6996666198059968,0.6532374100719425,0.6170983798869941,0.6876917800434726,0.7079207920792079,0.6418004752170058,0.7662805813459063,0.6308316430020284,0.5873745979764226,0.6722655703505026,311,182,59,143
80-100,fixed_0.5,0.5,684,204,0.3406432748538012,0.6383335077985972,0.6710526315789473,0.6349731637789485,0.7052215089893862,0.2875536480686695,0.2332524471852591,0.3487464119125053,0.8691796008869179,0.8349159396706775,0.8972072947930348,392,59,166,67
80-100,youden_same_scope_descriptive,0.3452673852443695,684,204,0.3406432748538012,0.6383335077985972,0.6388888888888888,0.6022095897844861,0.6740168539162983,0.5793991416309013,0.5152281695647639,0.6409944790552636,0.6696230598669624,0.6249414280420926,0.7114395175223158,302,149,98,135
Age 65-70,fixed_0.5,0.5,291,93,0.23711340206185566,0.7717391304347827,0.8350515463917526,0.7880990779493214,0.8732733110625913,0.4057971014492754,0.29788908641297196,0.523641121651632,0.9684684684684685,0.9363562759657917,0.9846437967672697,215,7,41,28
Age 65-70,youden_same_scope_descriptive,0.3876734375953674,291,93,0.23711340206185566,0.7717391304347827,0.8213058419243986,0.773191470652696,0.8610476921433433,0.5652173913043478,0.44788403615274297,0.6756719736486849,0.9009009009009009,0.8545205925037492,0.9336429312774283,200,22,30,39
